FIELD, LONG NAME, TYPE, INTERPRETATION,
Room11Type,Room 11 Type,Character,Lookup,
Room11Dim1,Room 11 Dimension 1,Character,,
Room11Dim2,Room 11 Dimension 2,Character,,
Room12Lev,Room 12 Level,Character,Lookup,
Room12Type,Room 12 Type,Character,Lookup,
Room12Dim1,Room 12 Dimension 1,Character,,
Room12Dim2,Room 12 Dimension 2,Character,,
Room13Lev,Room 13 Level,Character,Lookup,
Room13Type,Room 13 Type,Character,Lookup,
Room13Dim1,Room 13 Dimension 1,Character,,
Room13Dim2,Room 13 Dimension 2,Character,,
Room14Lev,Room 14 Level,Character,Lookup,
Room14Type,Room 14 Type,Character,Lookup,
Room14Dim1,Room 14 Dimension 1,Character,,
Room16Lev,Room 16 Level,Character,Lookup,
Room16Type,Room 16 Type,Character,Lookup,
Room16Dim1,Room 16 Dimension 1,Character,,
Room16Dim2,Room 16 Dimension 2,Character,,
Room17Lev,Room 17 Level,Character,Lookup,
Room17Type,Room 17 Type,Character,Lookup,
Room17Dim1,Room 17 Dimension 1,Character,,
Room17Dim2,Room 17 Dimension 2,Character,,
Room18Lev,Room 18 Level,Character,Lookup,
Room18Type,Room 18 Type,Character,Lookup,
Room18Dim1,Room 18 Dimension 1,Character,,
Room18Dim2,Room 18 Dimension 2,Character,,
Room19Lev,Room 19 Level,Character,Lookup,
Room19Type,Room 19 Type,Character,Lookup,
Room19Dim1,Room 19 Dimension 1,Character,,
Room19Dim2,Room 19 Dimension 2,Character,,
Room20Lev,Room 20 Level,Character,Lookup,
Room20Type,Room 20 Type,Character,Lookup,
Room20Dim1,Room 20 Dimension 1,Character,,
Room20Dim2,Room 20 Dimension 2,Character,,
Room21Lev,Room 21 Level,Character,Lookup,
Room21Type,Room 21 Type,Character,Lookup,
Room21Dim1,Room 21 Dimension 1,Character,,
Room21Dim2,Room 21 Dimension 2,Character,,
Room22Lev,Room 22 Level,Character,Lookup,
Room22Type,Room 22 Type,Character,Lookup,
Room22Dim1,Room 22 Dimension 1,Character,,
Room22Dim2,Room 22 Dimension 2,Character,,
Room23Lev,Room 23 Level,Character,Lookup,
Room23Type,Room 23 Type,Character,Lookup,
Room23Dim1,Room 23 Dimension 1,Character,,
Room23Dim2,Room 23 Dimension 2,Character,,
Room24Lev,Room 24 Level,Character,Lookup,
Room24Type,Room 24 Type,Character,Lookup,
Room24Dim1,Room 24 Dimension 1,Character,,
Room24Dim2,Room 24 Dimension 2,Character,,
Room25Lev,Room 25 Level,Character,Lookup,
Room25Type,Room 25 Type,Character,Lookup,
Room25Dim1,Room 25 Dimension 1,Character,,
Room25Dim2,Room 25 Dimension 2,Character,,
MgtCosName,Mgmt. Co Name,Character,,
RestrAge,Restricted Age,Character,Lookup,
